TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QEMO516,5/16/2011,15.3,11.4,,,10.62,12.33,4.34,9.28,11.21,11.6,108,,0
QEMO517,5/16/2011,30.8,21,23.1,,4.34,15.98,13.2,11.92,12.19,11.8,254,,1
QEMO518,5/16/2011,25.8,21.4,,,11.46,7.74,1.23,8.23,10.58,11.8,296,,0
QEMO519,5/16/2011,35.8,35.9,,,34.99,11.87,26.65,5.8,25.86,11.8,358,,0
QEMO520,5/16/2011,36,33.7,,,18.33,22.7,23.54,27.56,12.12,11.8,38,,0
QEMO521,7/25/2011,10,7.6,,,9.94,9.7,6.79,10.11,10.28,11.8,240,,0
QEMO523,7/25/2011,8.8,7.7,7.5,,6.81,7.75,7.81,7.03,7.19,11.8,340,,1
QEMO524,7/25/2011,7.1,5.5,,,3.72,4.73,4.92,4.51,4.63,11.6,100,,0
QEMO525,7/25/2011,5.9,4.8,,,6.96,4.93,4.3,5.33,4.87,11.6,150,,0
QEMO526,7/25/2011,9.9,9.3,,,9.08,7.73,7.56,5.53,9.36,11.8,270,,0
QEMO527,7/25/2011,7,4.5,,,5.53,3.32,4.6,3.86,4.04,11.8,30,,0
QEMO528,7/25/2011,10.5,6.3,,,9.74,8.43,9.04,10.98,9.23,11.8,170,,0
QEMO529,7/26/2011,14.7,12.6,,,12.3,14.82,12.7,11.42,10.72,11.6,90,,0
QEMO530,7/26/2011,24.5,22.4,,,13.28,8.03,22.56,22.9,12.34,11.8,340,,0
QGRI501,5/10/2011,9.1,9,,,4.87,8.21,11.35,8.85,7.7,11.8,12,,0
QGRI502,5/10/2011,25.2,23.5,18.8,,13.81,6.32,1.95,15.07,17.9,11.8,24,,1
QGRI503,5/10/2011,19.8,12.4,10.7,,12.36,3.01,11.16,10.77,8.5,11.8,,,1
QGRI504,5/10/2011,29.8,24.6,,,25.82,13.11,25.06,4.71,22.39,11.8,,,0
QGRI505,5/10/2011,22.1,21.9,,,22.31,3.36,24.65,3.05,27.39,11.8,,,0
QGRI506,5/10/2011,23.5,13.7,14.4,,6.65,13.2,17.5,13.68,8.33,11.8,,,1
QGRI507,5/10/2011,11.5,9.4,,,7.38,2.81,6.6,7.87,6.62,11.8,,,0
QGRI508,5/11/2011,15.5,17.5,,,8.28,8.1,10.65,2.46,11.73,11.8,,,0
QGRI509,5/11/2011,35.9,33.7,,,14.19,15.51,13.91,9.13,13.71,11.8,,,0
QGRI510,5/11/2011,24,24.2,,,11.97,11.81,11.52,3.03,15.3,11.8,,,0
QGRI511,5/11/2011,31.8,30.5,,,15.14,16.43,12.89,4.87,19.33,11.8,,,0
